"","weight","height","male","educ","physical","stamps","white","black"
"258",155,65,0,9,1,0,0,1
"259",190,75,1,14,5,0,1,0
"260",195,62,0,8,1,0,1,0
"261",170,64,0,12,2,0,1,0
"262",174,65,1,12,3,0,0,1
"263",135,67,0,12,4,0,1,0
"264",115,63,0,0,1,0,0,1
"265",130,61,0,14,3,0,0,1
"266",171,63,0,12,5,0,1,0
"267",160,66,0,12,5,0,0,1
"268",125,62,0,14,2,0,1,0
"269",140,60,0,12,5,0,1,0
"270",165,64,0,12,5,0,1,0
"271",86,59,0,12,1,0,0,1
"272",250,68,0,8,2,0,1,0
"273",210,NA,1,6,1,1,1,0
"274",175,62,0,14,4,0,1,0
"275",124,67,0,11,5,1,0,1
"276",170,66,0,9,4,0,1,0
"277",120,66,0,12,3,0,0,1
"278",147,63,0,12,4,0,0,1
"279",112,61,0,16,2,0,1,0
"280",195,69,1,11,3,0,0,1
"281",195,65,0,12,3,0,1,0
"282",190,71,1,11,4,0,1,0
"283",135,70,0,14,3,1,1,0
"284",184,63,0,6,1,0,1,0
"285",185,63,0,11,1,0,0,1
"286",195,74,1,12,4,0,0,1
"287",138,63,0,12,1,0,1,0
"288",180,62,0,12,3,0,1,0
"289",186,64,0,11,1,0,1,0
"290",165,67,0,12,2,0,1,0
"291",95,51,0,10,1,0,1,0
"292",180,73,1,17,5,0,1,0
"293",178,66,1,8,1,0,0,1
"294",110,60,0,5,1,1,0,1
"295",160,63,0,8,2,0,1,0
"296",185,75,1,14,3,0,0,1
"297",108,62,0,12,3,0,0,1
"298",103,62,0,8,1,0,1,0
"299",122,64,0,8,5,0,1,0
"300",158,66,1,1,3,1,0,1
"301",174,65,0,2,2,0,0,1
"302",125,64,0,4,1,0,0,1
"303",200,69,0,10,2,1,0,1
"304",175,69,1,9,1,0,0,1
"305",NA,64,0,12,3,0,0,1
"306",150,62,0,10,3,0,1,0
"307",147,68,0,12,5,0,1,0
"308",180,65,0,10,2,0,0,1
"309",145,63,0,12,1,0,1,0
"310",128,66,0,12,2,0,1,0
"311",NA,61,0,12,3,0,0,1
"312",165,67,0,16,2,0,0,1
"313",160,64,0,17,5,0,0,1
"314",145,64,1,12,1,0,0,0
"315",159,66,0,13,4,0,1,0
"316",110,62,0,6,1,0,0,1
"317",140,61,0,10,1,0,0,1
"318",168,72,1,12,2,0,1,0
"319",149,62,0,11,4,0,1,0
"320",129,62,0,12,3,1,0,1
"321",90,63,0,12,3,1,0,1
"322",195,63,0,8,3,0,0,1
"323",130,63,0,13,3,0,1,0
"324",205,72,1,13,5,0,0,1
"325",200,63,0,12,1,0,0,0
"326",130,63,0,8,3,0,1,0
"327",187,68,0,6,4,0,1,0
"328",160,63,0,16,2,0,1,0
"329",159,73,1,8,4,1,0,0
"330",172,69,1,3,1,0,0,1
"331",180,63,0,7,1,0,1,0
"332",175,62,0,12,2,0,0,1
"333",150,66,1,1,2,1,0,1
"334",160,68,1,12,1,0,1,0
"335",175,70,1,12,3,0,1,0
