Municipality,Establishment Count,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,NTI,NTI Tax Rate (30%),State Share,Municipality Share
Gardner,3,13,378389.65,338188.14,40201.51,112161,71979.51,40181.49,12054.54,10045.45,2009.09
Genoa,5,22,954713.51,884207.93,70505.58,268990,198484.57,70505.43,21151.83,17626.54,3525.29
Georgetown,4,20,1057295.69,969497.51,87798.18,292860,205061.83,87798.17,26339.62,21949.68,4389.94
German Valley,1,5,78195.74,70753.63,7442.11,27805,20362.83,7442.17,2232.62,1860.52,372.1
Germantown,3,13,589498.12,546957.34,42540.78,170850,128309.04,42540.96,12762.37,10635.32,2127.05
Germantown Hills,2,9,415044.79,388096.31,26948.48,118072,91123.52,26948.48,8084.57,6737.15,1347.42
Gibson City,8,37,1094791.98,1005388.26,89403.72,342941,253537.28,89403.72,26821.65,22351.39,4470.26
Gifford,2,10,392878.92,366325.18,26553.74,112914,86359.43,26554.57,7966.52,6638.78,1327.74
Gilberts,5,23,1011200.66,930470.25,80730.41,323318,242587.72,80730.28,24219.4,20182.83,4036.57
Gillespie,4,15,270909.3,252288.97,18620.33,86550,67929.82,18620.18,5586.25,4655.22,931.03
Gilman,8,34,1662521.08,1533830.08,128691,513661,385007.96,128653.04,38596.12,32163.43,6432.69
Girard,3,13,505153.53,456368.57,48784.96,160678,111893.04,48784.96,14635.67,12196.4,2439.27
Gladstone,1,3,40878.33,34603.99,6274.34,13039,6764.66,6274.34,1882.28,1568.57,313.71
Glasford,2,6,205504.01,189184.6,16319.41,63841,47521.59,16319.41,4895.91,4079.92,815.99
Glasgow,1,4,149240.14,135717.7,13522.44,50694,37171.54,13522.46,4056.81,3380.67,676.14
Glendale Heights,8,40,3744883.83,3472017.97,272865.86,1130302,857435.7,272866.3,81860.23,68216.87,13643.36
Glenwood,7,33,1942877.51,1787781.32,155096.19,626801,471704.57,155096.43,46529.29,38774.41,7754.88
Godfrey,8,37,1927864.84,1764220.99,163643.85,534048,370404.17,163643.83,49093.49,40911.25,8182.24
Godley,1,5,310033,279257.97,30775.03,92104,61328.81,30775.19,9232.59,7693.83,1538.76
Golconda,1,4,182718.59,168243.21,14475.38,58759,44283.7,14475.3,4342.6,3618.83,723.77
Grafton,2,4,41769.18,36974.86,4794.32,17437,12642.53,4794.47,1438.35,1198.63,239.72
Grandview,3,15,1477093.87,1380672.42,96421.45,452444,356022.36,96421.64,28926.71,24105.6,4821.11
Granite City,22,97,4951055.04,4577332.59,373722.45,1384597,1010963.75,373633.25,112090.92,93409.12,18681.8
Grant Park,3,12,242389.27,226553.58,15835.69,77259,61423.26,15835.74,4750.82,3959.02,791.8
Grantfork,1,2,25607.76,25537.05,70.71,8735,8664.29,70.71,21.21,17.67,3.54
Granville,2,6,140760.49,128564.12,12196.37,44688,32491.63,12196.37,3658.94,3049.12,609.82
Grayville,6,26,1970146.14,1833495.01,136651.13,504357,367918.82,136438.18,40931.55,34109.63,6821.92
