year,sex,educ,attend,reltrad,income,race,partyid,abany,abnomore,abrape,abdefect,homosex,owngun,gunlaw
1972,2,18,0,7,NA,1,3,NA,1,1,1,NA,NA,2
1972,1,18,3,2,NA,1,3,NA,2,1,1,NA,NA,2
1972,2,12,0,7,NA,1,3,NA,1,1,1,NA,NA,2
1972,2,14,7,2,NA,1,6,NA,1,1,1,NA,NA,1
1972,2,12,7,4,NA,1,2,NA,2,2,NA,NA,NA,1
1972,1,12,3,2,NA,1,6,NA,1,1,1,NA,NA,2
1972,1,12,2,7,NA,1,3,NA,1,1,1,NA,NA,2
1972,1,10,0,7,NA,1,7,NA,2,NA,1,NA,NA,2
1972,2,10,6,4,NA,1,5,NA,2,1,2,NA,NA,1
1972,1,19,2,2,NA,1,6,NA,1,1,1,NA,NA,1
1972,1,16,7,2,NA,1,5,NA,2,1,1,NA,NA,2
1972,2,14,7,1,NA,1,4,NA,1,1,1,NA,NA,1
1972,1,9,0,7,NA,1,7,NA,1,1,1,NA,NA,1
1972,2,16,0,7,NA,1,2,NA,1,1,1,NA,NA,1
1972,2,12,2,2,NA,1,2,NA,2,1,1,NA,NA,1
1972,2,10,8,3,NA,2,0,NA,2,1,1,NA,NA,2
1972,2,12,4,3,NA,2,2,NA,2,1,1,NA,NA,1
1972,1,1,5,3,NA,2,0,NA,2,2,2,NA,NA,2
1972,2,5,7,3,NA,2,0,NA,2,1,1,NA,NA,1
1972,1,6,7,3,NA,2,0,NA,2,2,2,NA,NA,1
1972,1,1,7,3,NA,2,0,NA,2,2,2,NA,NA,1
1972,1,2,4,3,NA,2,1,NA,2,1,1,NA,NA,2
1972,1,14,3,4,NA,1,1,NA,1,1,1,NA,NA,1
1972,2,16,2,2,NA,1,4,NA,1,1,1,NA,NA,1
1972,1,18,7,4,NA,1,3,NA,2,1,NA,NA,NA,1
1972,1,15,0,2,NA,1,4,NA,1,1,1,NA,NA,2
1972,1,18,5,2,NA,1,4,NA,2,1,1,NA,NA,1
1972,2,16,4,4,NA,1,2,NA,1,1,1,NA,NA,1
1972,2,12,7,4,NA,1,6,NA,2,1,NA,NA,NA,2
1972,2,12,3,6,NA,1,2,NA,2,1,2,NA,NA,1
1972,2,12,3,2,NA,1,0,NA,1,1,1,NA,NA,1
1972,1,9,1,1,NA,1,1,NA,2,1,1,NA,NA,1
1972,1,12,3,2,NA,1,1,NA,NA,1,1,NA,NA,1
1972,1,12,4,4,NA,1,1,NA,1,1,1,NA,NA,2
1972,1,13,7,1,NA,1,5,NA,2,1,1,NA,NA,2
1972,2,12,3,2,NA,1,6,NA,1,1,1,NA,NA,1
1972,2,14,2,2,NA,1,7,NA,1,1,1,NA,NA,1
1972,1,13,1,2,NA,1,3,NA,1,1,1,NA,NA,1
1972,2,8,3,2,NA,1,1,NA,NA,1,1,NA,NA,2
1972,1,10,2,1,NA,1,0,NA,2,1,1,NA,NA,1
1972,2,3,7,2,NA,1,0,NA,2,1,1,NA,NA,1
1972,2,9,3,1,NA,1,1,NA,2,1,1,NA,NA,1
1972,1,10,3,1,NA,1,1,NA,2,1,1,NA,NA,2
1972,2,13,1,NA,NA,1,5,NA,1,1,1,NA,NA,2
1972,1,11,7,4,NA,1,1,NA,2,2,2,NA,NA,NA
1972,1,12,1,2,NA,1,0,NA,2,1,1,NA,NA,1
1972,2,10,0,1,NA,1,1,NA,1,1,1,NA,NA,1
1972,1,7,7,1,NA,1,0,NA,1,2,1,NA,NA,1
1972,2,9,1,3,NA,2,0,NA,NA,2,1,NA,NA,2
1972,2,6,0,3,NA,2,1,NA,2,NA,1,NA,NA,2
1972,2,14,3,3,NA,2,1,NA,2,1,1,NA,NA,2
1972,1,12,0,3,NA,2,5,NA,1,1,1,NA,NA,2
1972,2,9,0,3,NA,2,7,NA,2,2,NA,NA,NA,1
1972,1,4,7,3,NA,2,0,NA,2,2,2,NA,NA,NA
1972,1,6,7,3,NA,2,0,NA,2,2,2,NA,NA,1
1972,1,11,0,1,NA,1,7,NA,2,NA,1,NA,NA,1
1972,2,12,7,4,NA,1,5,NA,2,2,2,NA,NA,2
1972,2,17,6,4,NA,1,6,NA,2,1,1,NA,NA,1
1972,2,12,7,4,NA,1,5,NA,NA,1,1,NA,NA,1
1972,2,15,7,2,NA,1,5,NA,NA,1,1,NA,NA,1
1972,1,12,5,2,NA,1,5,NA,2,1,1,NA,NA,1
1972,1,14,6,2,NA,1,6,NA,1,1,1,NA,NA,1
1972,1,10,2,7,NA,1,5,NA,2,1,1,NA,NA,2
1972,1,12,7,2,NA,1,5,NA,1,1,1,NA,NA,1
1972,1,11,7,4,NA,1,1,NA,1,1,1,NA,NA,1
1972,2,16,1,4,NA,1,2,NA,2,1,1,NA,NA,2
1972,1,14,8,1,NA,1,4,NA,2,2,1,NA,NA,2
1972,1,15,5,2,NA,1,4,NA,1,1,1,NA,NA,1
1972,2,14,7,2,NA,1,2,NA,2,1,1,NA,NA,1
1972,2,15,5,2,NA,1,5,NA,2,NA,NA,NA,NA,1
1972,1,12,8,1,NA,1,3,NA,2,2,2,NA,NA,2
1972,2,10,1,7,NA,1,3,NA,2,1,1,NA,NA,1
1972,2,12,8,1,NA,1,0,NA,NA,1,NA,NA,NA,1
1972,1,4,8,1,NA,1,0,NA,2,2,2,NA,NA,1
1972,2,4,2,1,NA,1,7,NA,NA,1,1,NA,NA,1
1972,2,9,5,1,NA,1,1,NA,2,2,1,NA,NA,2
1972,1,7,0,1,NA,1,0,NA,2,1,2,NA,NA,2
1972,1,5,3,1,NA,1,0,NA,2,2,2,NA,NA,1
1972,1,8,0,2,NA,1,1,NA,1,1,1,NA,NA,1
1972,1,20,7,1,NA,1,1,NA,1,1,1,NA,NA,1
1972,2,9,8,1,NA,1,2,NA,1,1,1,NA,NA,NA
1972,2,5,5,1,NA,1,5,NA,2,1,1,NA,NA,2
1972,1,14,7,2,NA,1,1,NA,2,1,1,NA,NA,2
1972,2,12,8,1,NA,1,4,NA,1,1,1,NA,NA,1
1972,2,12,7,2,NA,1,0,NA,2,1,1,NA,NA,1
1972,1,12,7,2,NA,1,0,NA,1,1,1,NA,NA,1
1972,2,11,8,4,NA,1,5,NA,2,2,1,NA,NA,1
1972,2,12,7,4,NA,1,3,NA,2,1,1,NA,NA,1
